Time: 46666| X:-1066| Y:-1294
Time: 46736| X:-987| Y:-1321
Time: 46805| X:-923| Y:-1294
Time: 46875| X:-908| Y:-1283
Time: 46945| X:-919| Y:-1302
Time: 47015| X:-897| Y:-1306
Time: 47084| X:-919| Y:-1309
Time: 47152| X:-897| Y:-1279
Time: 47219| X:-912| Y:-1302
Time: 47286| X:-901| Y:-1298
Time: 47353| X:-889| Y:-1272
Time: 47420| X:-901| Y:-1298
Time: 47487| X:-889| Y:-1339
Time: 47554| X:-897| Y:-1336
Time: 47621| X:-807| Y:-1279
Time: 47691| X:-578| Y:-1231
Time: 47761| X:-488| Y:-1178
Time: 47830| X:-451| Y:-1159
Time: 47900| X:-402| Y:-1122
Time: 47970| X:-387| Y:-1156
Time: 48040| X:-342| Y:-1126
Time: 48108| X:-368| Y:-1137
Time: 48175| X:-383| Y:-1144
Time: 48242| X:-357| Y:-1137
Time: 48309| X:-297| Y:-1092
Time: 48376| X:-267| Y:-1114
Time: 48443| X:-233| Y:-1066
Time: 48510| X:-158| Y:-1043
Time: 48577| X:-53| Y:-878
Time: 48646| X:6| Y:-754
Time: 48716| X:29| Y:-769
Time: 48785| X:59| Y:-732
Time: 48855| X:70| Y:-702
Time: 48925| X:122| Y:-612
Time: 48995| X:145| Y:-507
Time: 49064| X:179| Y:-304
Time: 49132| X:107| Y:-46
Time: 49198| X:10| Y:212
Time: 49266| X:-31| Y:280
Time: 49333| X:-16| Y:332
Time: 49400| X:-57| Y:317
Time: 49467| X:-98| Y:351
Time: 49534| X:-203| Y:486
Time: 49601| X:-334| Y:512
Time: 49668| X:-346| Y:561
Time: 49737| X:-368| Y:554
Time: 49808| X:-301| Y:614
Time: 49877| X:-357| Y:681
Time: 49948| X:-533| Y:614
Time: 50017| X:-518| Y:644
Time: 50087| X:-559| Y:617
Time: 50155| X:-574| Y:629
Time: 50221| X:-597| Y:655
Time: 50288| X:-631| Y:632
Time: 50356| X:-627| Y:647
Time: 50423| X:-664| Y:670
Time: 50490| X:-698| Y:689
Time: 50557| X:-724| Y:711
Time: 50624| X:-799| Y:715
Time: 50691| X:-852| Y:722
Time: 50762| X:-927| Y:722
Time: 50832| X:-1054| Y:696
Time: 50901| X:-1212| Y:681
Time: 50971| X:-1268| Y:644
Time: 51041| X:-1343| Y:644
Time: 51111| X:-1396| Y:632
Time: 51178| X:-1429| Y:580
Time: 51245| X:-1534| Y:554
Time: 51312| X:-1632| Y:486
Time: 51379| X:-1651| Y:434
Time: 51446| X:-1726| Y:419
Time: 51513| X:-1756| Y:351
Time: 51580| X:-1793| Y:317
Time: 51647| X:-1861| Y:212
Time: 51715| X:-1939| Y:21
Time: 51786| X:-1973| Y:-94
Time: 51855| X:-2007| Y:-162
Time: 51925| X:-1973| Y:-256
Time: 51995| X:-1999| Y:-282
Time: 52065| X:-1999| Y:-263
Time: 52135| X:-1992| Y:-286
Time: 52202| X:-2014| Y:-267
Time: 52269| X:-1962| Y:-271
Time: 52337| X:-2007| Y:-297
Time: 52403| X:-1988| Y:-274
Time: 52470| X:-1984| Y:-256
Time: 52537| X:-1984| Y:-214
Time: 52604| X:-1984| Y:-94
Time: 52671| X:-1849| Y:460
Time: 52741| X:-1936| Y:794
Time: 52811| X:-1842| Y:861
Time: 52880| X:-1891| Y:876
Time: 52950| X:-2082| Y:655
Time: 53020| X:-2097| Y:610
Time: 53090| X:-2123| Y:606
Time: 53159| X:-2191| Y:527
Time: 53227| X:-2112| Y:467
Time: 53293| X:-2194| Y:400
Time: 53360| X:-2224| Y:351
Time: 53428| X:-2194| Y:201
Time: 53494| X:-2224| Y:216
Time: 53561| X:-2221| Y:190
Time: 53628| X:-2239| Y:115
Time: 53696| X:-2232| Y:10
Time: 53765| X:-2228| Y:-46
Time: 53835| X:-2217| Y:-94
Time: 53905| X:-2221| Y:-166
Time: 53975| X:-2221| Y:-256
Time: 54045| X:-2198| Y:-312
Time: 54115| X:-2206| Y:-394
Time: 54183| X:-2187| Y:-406
Time: 54249| X:-2206| Y:-496
Time: 54316| X:-2183| Y:-544
Time: 54383| X:-2164| Y:-578
Time: 54450| X:-2149| Y:-638
